param	ns	:=	100	;																																																																																																		
1578	0.2270075																																																																																																					
1579	0.2642447																																																																																																					
1580	0.2955748																																																																																																					
1581	0.0010945																																																																																																					
1582	0.0714746																																																																																																					
1583	0.1252501																																																																																																					
1584	0.1412111																																																																																																					
1585	0.1638621																																																																																																					
1586	0.0016074																																																																																																					
1587	0.0046514																																																																																																					
1588	0.0092586																																																																																																					
1589	0.0329101																																																																																																					
1590	0.0000982																																																																																																					
1591	0.0054567																																																																																																					
1592	0.0286580																																																																																																					
1593	0.0015850																																																																																																					
1594	0.0188370																																																																																																					
1595	0.0101741																																																																																																					
1596	0.0553280																																																																																																					
1597	0.1598411																																																																																																					
1598	0.2641165																																																																																																					
1599	0.3973461																																																																																																					
1600	0.5262634																																																																																																					
1601	0.5776443																																																																																																					
1602	0.7259206																																																																																																					
1603	0.8768866																																																																																																					
1604	0.9562669																																																																																																					
1605	1.0174010																																																																																																					
1606	0.0725019																																																																																																					
1607	0.1781274																																																																																																					
1608	0.3100845																																																																																																					
1609	0.4382288																																																																																																					
1610	0.4902604																																																																																																					
1611	0.6276715																																																																																																					
1612	0.7630790																																																																																																					
1613	0.8306257																																																																																																					
1614	0.8834610																																																																																																					
1615	0.0697847																																																																																																					
1616	0.1985209																																																																																																					
1617	0.3255787																																																																																																					
1618	0.3787090																																																																																																					
1619	0.5028453																																																																																																					
1620	0.6197920																																																																																																					
1621	0.6741706																																																																																																					
1622	0.7183882																																																																																																					
1623	0.0880235																																																																																																					
1624	0.2161720																																																																																																					
1625	0.2723218																																																																																																					
1626	0.3820291																																																																																																					
1627	0.4784444																																																																																																					
1628	0.5192855																																																																																																					
1629	0.5554703																																																																																																					
1630	0.0849067																																																																																																					
1631	0.1452667																																																																																																					
1632	0.2430207																																																																																																					
1633	0.3190929																																																																																																					
1634	0.3475624																																																																																																					
1635	0.3772978																																																																																																					
1636	0.0312242																																																																																																					
1637	0.1042363																																																																																																					
1638	0.1503068																																																																																																					
1639	0.1646569																																																																																																					
1640	0.1889692																																																																																																					
1641	0.0024902																																																																																																					
1642	0.0051786																																																																																																					
1643	0.0101901																																																																																																					
1644	0.0361682																																																																																																					
1645	0.0003567																																																																																																					
1646	0.0061138																																																																																																					
1647	0.0317228																																																																																																					
1648	0.0025985																																																																																																					
1649	0.0233484																																																																																																					
1650	0.0150903																																																																																																					
1651	0.1599745																																																																																																					
1652	0.3974343																																																																																																					
1653	0.6245445																																																																																																					
1654	0.7867885																																																																																																					
1655	0.9499190																																																																																																					
1656	1.0306431																																																																																																					
1657	1.1244643																																																																																																					
1658	1.2160138																																																																																																					
1659	1.2659086																																																																																																					
1660	1.3179197																																																																																																					
1661	0.1806045																																																																																																					
1662	0.4091527																																																																																																					
1663	0.5736602																																																																																																					
1664	0.7373442																																																																																																					
1665	0.8190191																																																																																																					
1666	0.9102762																																																																																																					
1667	0.9960528																																																																																																					
1668	1.0408097																																																																																																					
1669	1.0886187																																																																																																					
1670	0.1699305																																																																																																					
1671	0.3368772																																																																																																					
1672	0.5002121																																																																																																					
1673	0.5823999																																																																																																					
1674	0.6713633																																																																																																					
1675	0.7506891																																																																																																					
1676	0.7897982																																																																																																					
1677	0.8331428																																																																																																					
1678	0.1180218																																																																																																					
1679	0.2784363																																																																																																					
1680	0.3605219																																																																																																					
1681	0.4489187																																																																																																					
1682	0.5215730																																																																																																					
1683	0.5548131																																																																																																					
1684	0.5936888																																																																																																					
1685	0.1205038																																																																																																					
1686	0.2064249																																																																																																					
1687	0.2856246																																																																																																					
1688	0.3433908																																																																																																					
1689	0.3668216																																																																																																					
1690	0.3994179																																																																																																					
1691	0.0561615																																																																																																					
1692	0.1199714																																																																																																					
1693	0.1575004																																																																																																					
1694	0.1702414																																																																																																					
1695	0.1971525																																																																																																					
1696	0.0029292																																																																																																					
1697	0.0097763																																																																																																					
1698	0.0145517																																																																																																					
1699	0.0399986																																																																																																					
1700	0.0050098																																																																																																					
1701	0.0104177																																																																																																					
1702	0.0354833																																																																																																					
1703	0.0030149																																																																																																					
1704	0.0256563																																																																																																					
1705	0.0186560																																																																																																					
1706	0.2390031																																																																																																					
1707	0.5582019																																																																																																					
1708	0.8580764																																																																																																					
1709	1.0534236																																																																																																					
1710	1.2292068																																																																																																					
1711	1.3254328																																																																																																					
1712	1.3846423																																																																																																					
1713	1.4471708																																																																																																					
1714	1.4793903																																																																																																					
1715	1.5214856																																																																																																					
1716	0.2571188																																																																																																					
1717	0.5583117																																																																																																					
1718	0.7559971																																																																																																					
1719	0.9315223																																																																																																					
1720	1.0271833																																																																																																					
1721	1.0889278																																																																																																					
1722	1.1512549																																																																																																					
1723	1.1823990																																																																																																					
1724	1.2232286																																																																																																					
1725	0.2390550																																																																																																					
1726	0.4389319																																																																																																					
1727	0.6121692																																																																																																					
1728	0.7060333																																																																																																					
1729	0.7721782																																																																																																					
1730	0.8348221																																																																																																					
1731	0.8648759																																																																																																					
1732	0.9043322																																																																																																					
1733	0.1466580																																																																																																					
1734	0.3123026																																																																																																					
1735	0.4027595																																																																																																					
1736	0.4777892																																																																																																					
1737	0.5421716																																																																																																					
1738	0.5714197																																																																																																					
1739	0.6095541																																																																																																					
1740	0.1304562																																																																																																					
1741	0.2225130																																																																																																					
1742	0.2953814																																																																																																					
1743	0.3505785																																																																																																					
1744	0.3731254																																																																																																					
1745	0.4063605																																																																																																					
1746	0.0673169																																																																																																					
1747	0.1246847																																																																																																					
1748	0.1605780																																																																																																					
1749	0.1730438																																																																																																					
1750	0.2002275																																																																																																					
1751	0.0047093																																																																																																					
1752	0.0143533																																																																																																					
1753	0.0201314																																																																																																					
1754	0.0450479																																																																																																					
1755	0.0075835																																																																																																					
1756	0.0140329																																																																																																					
1757	0.0387616																																																																																																					
1758	0.0040830																																																																																																					
1759	0.0271213																																																																																																					
1760	0.0199041																																																																																																					
1761	0.2964527																																																																																																					
1762	0.6704706																																																																																																					
1763	1.0194554																																																																																																					
1764	1.2593725																																																																																																					
1765	1.4602246																																																																																																					
1766	1.5788735																																																																																																					
1767	1.6163477																																																																																																					
1768	1.6623178																																																																																																					
1769	1.6830977																																																																																																					
1770	1.7190040																																																																																																					
1771	0.3130199																																																																																																					
1772	0.6632023																																																																																																					
1773	0.9047955																																																																																																					
1774	1.1028157																																																																																																					
1775	1.2190331																																																																																																					
1776	1.2607670																																																																																																					
1777	1.3090777																																																																																																					
1778	1.3305225																																																																																																					
1779	1.3665691																																																																																																					
1780	0.2898270																																																																																																					
1781	0.5324003																																																																																																					
1782	0.7236418																																																																																																					
1783	0.8357704																																																																																																					
1784	0.8844480																																																																																																					
1785	0.9364458																																																																																																					
1786	0.9589074																																																																																																					
1787	0.9952135																																																																																																					
1788	0.1879039																																																																																																					
1789	0.3632330																																																																																																					
1790	0.4699592																																																																																																					
1791	0.5318259																																																																																																					
1792	0.5903103																																																																																																					
1793	0.6146101																																																																																																					
1794	0.6515328																																																																																																					
1795	0.1363751																																																																																																					
1796	0.2434428																																																																																																					
1797	0.3111597																																																																																																					
1798	0.3664609																																																																																																					
1799	0.3873644																																																																																																					
1800	0.4212612																																																																																																					
1801	0.0842537																																																																																																					
1802	0.1327876																																																																																																					
1803	0.1665350																																																																																																					
1804	0.1773782																																																																																																					
1805	0.2046490																																																																																																					
1806	0.0052695																																																																																																					
1807	0.0154213																																																																																																					
1808	0.0214226																																																																																																					
1809	0.0463136																																																																																																					
1810	0.0079158																																																																																																					
1811	0.0147885																																																																																																					
1812	0.0396337																																																																																																					
1813	0.0043744																																																																																																					
1814	0.0278217																																																																																																					
1815	0.0208951																																																																																																					
1816	0.3405353																																																																																																					
1817	0.7546515																																																																																																					
1818	1.1416361																																																																																																					
1819	1.4247772																																																																																																					
1820	1.6620169																																																																																																					
1821	1.8016764																																																																																																					
1822	1.8326438																																																																																																					
1823	1.8681648																																																																																																					
1824	1.8836774																																																																																																					
1825	1.9160087																																																																																																					
1826	0.3560271																																																																																																					
1827	0.7440358																																																																																																					
1828	1.0283643																																																																																																					
1829	1.2594041																																																																																																					
1830	1.3947350																																																																																																					
1831	1.4307296																																																																																																					
1832	1.4697257																																																																																																					
1833	1.4865227																																																																																																					
1834	1.5195425																																																																																																					
1835	0.3307168																																																																																																					
1836	0.6152871																																																																																																					
1837	0.8338008																																																																																																					
1838	0.9628318																																																																																																					
1839	1.0072582																																																																																																					
1840	1.0516359																																																																																																					
1841	1.0703344																																																																																																					
1842	1.1043459																																																																																																					
1843	0.2302985																																																																																																					
1844	0.4216497																																																																																																					
1845	0.5436466																																																																																																					
1846	0.6047196																																																																																																					
1847	0.6584938																																																																																																					
1848	0.6804700																																																																																																					
1849	0.7161877																																																																																																					
1850	0.1404759																																																																																																					
1851	0.2640522																																																																																																					
1852	0.3387168																																																																																																					
1853	0.3945659																																																																																																					
1854	0.4156448																																																																																																					
1855	0.4500364																																																																																																					
1856	0.0999295																																																																																																					
1857	0.1481634																																																																																																					
1858	0.1792485																																																																																																					
1859	0.1895049																																																																																																					
1860	0.2169128																																																																																																					
1861	0.0071613																																																																																																					
1862	0.0174594																																																																																																					
1863	0.0242319																																																																																																					
1864	0.0500241																																																																																																					
1865	0.0083779																																																																																																					
1866	0.0158107																																																																																																					
1867	0.0414473																																																																																																					
1868	0.0049601																																																																																																					
1869	0.0292721																																																																																																					
1870	0.0220383																																																																																																					
1871	0.0000000																																																																																																					
1872	0.0003061																																																																																																					
1873	0.0005313																																																																																																					
1874	0.0012273																																																																																																					
1875	0.0032796																																																																																																					
1876	0.0088642																																																																																																					
1877	0.0754435																																																																																																					
1878	0.1764432																																																																																																					
1879	0.2423896																																																																																																					
1880	0.3055099																																																																																																					
1881	0.0000000																																																																																																					
1882	0.0002914																																																																																																					
1883	0.0010795																																																																																																					
1884	0.0030217																																																																																																					
1885	0.0080332																																																																																																					
1886	0.0692149																																																																																																					
1887	0.1609362																																																																																																					
1888	0.2188491																																																																																																					
1889	0.2735652																																																																																																					
1890	0.0000000																																																																																																					
1891	0.0001250																																																																																																					
1892	0.0009348																																																																																																					
1893	0.0039595																																																																																																					
1894	0.0546059																																																																																																					
1895	0.1312690																																																																																																					
1896	0.1773798																																																																																																					
1897	0.2204918																																																																																																					
1898	0.0000000																																																																																																					
1899	0.0002310																																																																																																					
1900	0.0018751																																																																																																					
1901	0.0419809																																																																																																					
1902	0.1033467																																																																																																					
1903	0.1380983																																																																																																					
1904	0.1701440																																																																																																					
1905	0.0000000																																																																																																					
1906	0.0004880																																																																																																					
1907	0.0281497																																																																																																					
1908	0.0722680																																																																																																					
1909	0.0953369																																																																																																					
1910	0.1162481																																																																																																					
1911	0.0000000																																																																																																					
1912	0.0128427																																																																																																					
1913	0.0378894																																																																																																					
1914	0.0496163																																																																																																					
1915	0.0599389																																																																																																					
1916	0.0000000																																																																																																					
1917	0.0026435																																																																																																					
1918	0.0036816																																																																																																					
1919	0.0047772																																																																																																					
1920	0.0000000																																																																																																					
1921	0.0002661																																																																																																					
1922	0.0003649																																																																																																					
1923	0.0000000																																																																																																					
1924	0.0001111																																																																																																					
1925	0.0000000																																																																																																					
1926	0.0284359																																																																																																					
1927	0.1066940																																																																																																					
1928	0.1821319																																																																																																					
1929	0.2768073																																																																																																					
1930	0.3593840																																																																																																					
1931	0.3894263																																																																																																					
1932	0.4334044																																																																																																					
1933	0.4929264																																																																																																					
1934	0.5296116																																																																																																					
1935	0.5615765																																																																																																					
1936	0.0426889																																																																																																					
1937	0.1210703																																																																																																					
1938	0.2149537																																																																																																					
1939	0.2969116																																																																																																					
1940	0.3283401																																																																																																					
1941	0.3685569																																																																																																					
1942	0.4215964																																																																																																					
1943	0.4528424																																																																																																					
1944	0.4796053																																																																																																					
1945	0.0377845																																																																																																					
1946	0.1275333																																																																																																					
1947	0.2078638																																																																																																					
1948	0.2409480																																																																																																					
1949	0.2760293																																																																																																					
1950	0.3208919																																																																																																					
1951	0.3457013																																																																																																					
1952	0.3665593																																																																																																					
1953	0.0463061																																																																																																					
1954	0.1279592																																																																																																					
1955	0.1646878																																																																																																					
1956	0.1955032																																																																																																					
1957	0.2324468																																																																																																					
1958	0.2512582																																																																																																					
1959	0.2667088																																																																																																					
1960	0.0389220																																																																																																					
1961	0.0787017																																																																																																					
1962	0.1074915																																																																																																					
